date,category,disk_count,total_gb,usd_per_hour,usd_per_day,usd_per_month,counted_in_total
2026-09-08,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-08,node-boot,38,2644,0.336681,8.0803,245.78,False
2026-09-08,other,94,1610,0.130961,3.1431,95.6,True
2026-09-09,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-09,node-boot,32,1694,0.187356,4.4965,136.77,False
2026-09-09,other,94,1610,0.130961,3.1431,95.6,True
2026-09-10,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-10,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-10,other,94,1610,0.130961,3.1431,95.6,True
2026-09-11,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-11,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-11,other,94,1610,0.130961,3.1431,95.6,True
2026-09-12,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-12,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-12,other,94,1610,0.130961,3.1431,95.6,True
2026-09-13,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-13,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-13,other,94,1610,0.130961,3.1431,95.6,True
2026-09-14,home-dirs,101,6385,0.874745,20.9939,638.56,True
2026-09-14,node-boot,38,2994,0.518856,12.4525,378.76,False
2026-09-14,other,94,1610,0.130961,3.1431,95.6,True
2026-09-15,home-dirs,101,6390,0.87543,21.0103,639.06,True
2026-09-15,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-15,other,94,1610,0.130961,3.1431,95.6,True
2026-09-16,home-dirs,103,6440,0.88228,21.1747,644.06,True
2026-09-16,node-boot,30,1394,0.146256,3.5101,106.77,False
2026-09-16,other,96,1612,0.131071,3.1457,95.68,True
2026-09-17,home-dirs,103,6440,0.88228,21.1747,644.06,True
2026-09-17,node-boot,31,1594,0.192831,4.6279,140.77,False
2026-09-17,other,96,1612,0.131071,3.1457,95.68,True
2026-09-18,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-18,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-18,other,98,1614,0.131345,3.1523,95.88,True
2026-09-19,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-19,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-19,other,98,1614,0.131345,3.1523,95.88,True
2026-09-20,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-20,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-20,other,98,1614,0.131345,3.1523,95.88,True
2026-09-21,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-21,node-boot,43,3344,0.413406,9.9217,301.79,False
2026-09-21,other,98,1614,0.131345,3.1523,95.88,True
2026-09-22,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-22,node-boot,29,1244,0.125706,3.0169,91.77,False
2026-09-22,other,98,1614,0.131345,3.1523,95.88,True
2026-09-23,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-23,node-boot,30,1394,0.146256,3.5101,106.77,False
2026-09-23,other,97,1613,0.13129,3.151,95.84,True
2026-09-24,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-24,node-boot,40,3194,0.507906,12.1897,370.77,False
2026-09-24,other,97,1613,0.13129,3.151,95.84,True
2026-09-25,home-dirs,105,6510,0.89187,21.4049,651.07,True
2026-09-25,node-boot,42,3244,0.418881,10.0531,305.78,False
2026-09-25,other,97,1613,0.13129,3.151,95.84,True
